name,gender,country_code,country,nationality_long,disciplines,events,birth_date,hobbies,education,family,lang,coach
ARNAUD Victoire,Female,FRA,France,France,['Hockey'],['Women'],2001-12-26,,,,French,National: Gael Foulard (FRA)
CLOT Catherine,Female,FRA,France,France,['Hockey'],['Women'],1997-04-30,,Received a Bachelor's degree in International Business Administration from the Free University of Amsterdam (NED) in 2018 and a Master's degree in International Business Administration from the University of Amsterdam (NED) in 2020,,French,National: Gael Foulard (FRA)
DELEMAZURE Philippine,Female,FRA,France,France,['Hockey'],['Women'],2005-09-10,,,,French,National: Gael Foulard (FRA)
DUFFRENE Mathilde,Female,FRA,France,France,['Hockey'],['Women'],2005-03-19,,,,French,Club: Mathias Gowie (BEL)<br>National: Gael Foulard (FRA)
EHRMANN Lucie,Female,FRA,France,France,['Hockey'],['Women'],1998-01-31,,,,French,National: Gael Foulard (FRA)
GAROT Albane,Female,FRA,France,France,['Hockey'],['Women'],1998-07-06,,,,French,National: Gael Foulard (FRA)
GASPARI Delfina,Female,FRA,France,France,['Hockey'],['Women'],1998-04-30,,,,French,National: Gael Foulard (FRA)
LAHLAH Mickaela,Female,FRA,France,France,['Hockey'],['Women'],2001-12-04,,,,French,National: Gael Foulard (FRA)
LARDEUR Ines,Female,FRA,France,France,['Hockey'],['Women'],1996-03-26,,,,French,National: Gael Foulard (FRA)
le NINDRE Paola,Female,FRA,France,France,['Hockey'],['Women'],2006-06-16,,,,French,National: Gael Foulard (FRA)
LHOPITAL Yohanna,Female,FRA,France,France,['Hockey'],['Women'],1999-09-18,"Sport, travelling, spending time with friends and family",Has a degree in Sport Education,,French,National: Gael Foulard (FRA)
PETRIAUX Mathilde,Female,FRA,France,France,['Hockey'],['Women'],1997-07-23,,"Studies General Management at Emlyon Business School (Lyon, FRA)",,French,
PONTHIEU Emma,Female,FRA,France,France,['Hockey'],['Women'],1996-03-09,,,"Father, Jean Louis. Brother, Theophile",French,National: Gael Foulard (FRA)
SCHUBERT Tessa-Margot,Female,FRA,France,France,['Hockey'],['Women'],1996-06-09,,,,French,Club: Nico Sussenburger (GER)<br>National: Gael Foulard (FRA)
van BOLHUIS Guusje,Female,FRA,France,France,['Hockey'],['Women'],2001-01-06,,,,French,National: Gael Foulard (FRA)
