name,gender,country_code,country,nationality_long,disciplines,events,birth_date,hobbies,education,family,lang,coach
HABERL Lukas,Male,AUT,Austria,Austria,['Sailing'],['Mixed Multihull'],1999-05-26,Kiteboarding,,"Brother, Niklas",Austrian,Matthias Schmid (AUT)
HUSSL David,Male,AUT,Austria,Austria,['Sailing'],"[""Men's Skiff""]",1992-02-23,"Travelling, cultures, politics and economics, sports, music (piano)",,"Partner, Maier Kerstin","English, German","Roman Hagara (AUT), two-time Olympic gold medallist (2000 and 2004) in the Tornado class.<br>Ivan Bulaja (CRO), competed at Sydney 2000 in the 470 class.<br>Paul Brotherton (GBR), competed at Barcelona 1992 in the 470 class"
KORNELLI Alina,Female,AUT,Austria,Austria,['Sailing'],"[""Women's Kite""]",2000-05-12,"Snowboarding, surfing",,"Father, Dietmar. Mother, Sabine",German,
MAEHR Lukas,Male,AUT,Austria,Austria,['Sailing'],['Mixed Dinghy'],1990-04-23,,,Two children,German,
VADLAU Lara,Female,AUT,Austria,Austria,['Sailing'],['Mixed Dinghy'],1994-03-29,"Skiing, gymnastics, football",Medicine at Sigmund Freud University (AUT),"Partner, Lea Schuller (footballer). Father, Ernst. Mother, Eva",Austrian,
GAYLE Tajay,Male,JAM,Jamaica,Jamaica,['Athletics'],"[""Men's Long Jump""]",1996-08-02,,"University of Technology, Kingston (JAM)","Mother, Naloney",English,Personal: Stephen Francis (JAM)
CRUZ Darian Toi,Male,PUR,Puerto Rico,United States of America,['Wrestling'],"[""Men's Freestyle 57kg""]",1995-02-07,"Video games, juggling, singing","Graduated with a Bachelor's degree in English (2017) from Lehigh University (PA, USA)","Wife, Kayla. Daughter, Carter (born January 2021). Son, Toi (born March 2024). Father, Randy. Mother, Heather. One of nine siblings (four boys, five girls)",English,"Club: Kerry McCoy (USA), two-time Olympian (2000, 2004)"
LOPEZ de JESUS Juanma,Male,PUR,Puerto Rico,United States of America,['Boxing'],"[""Men's 51kg""]",2005-12-27,,,"Father, Juan Manuel","English, Spanish",
TUGADE-WATSON Regine,Female,GUM,Guam,United States of America,['Athletics'],"[""Women's 100m""]",1998-01-28,,"Graduated in 2020 with a degree in Political Science from the United States Naval Academy (Annapolis, MD, USA), and in 2022 with a Master's of Business Administration (MBA) from Louisiana State University, Shreveport (LA, USA).</p><p>M.S. Business Analytics at Jacksonville University","Husband, Aaron Watson. Father, Rizaldy. Mother, Jeanelyn. Two sisters (Riza, Richelle)",English,
GREEN Joseph,Male,GUM,Guam,United States of America,['Athletics'],"[""Men's 100m""]",2001-12-07,"Enjoys spending time outdoors, ""whether it be fishing, camping, playing sports or even just sitting outside""  Some activities come with risks and he remembers he was almost bitten by a shark while spearfishing at night. (msubeavers.com, 2021)</p><p>Enjoys the Japanese culture","Studying Business at the University of Arizona (Tucson, USA)","Father, Justin. Mother, Marie",English,
ESCANO Maria,Female,GUM,Guam,United States of America,['Judo'],['Women -57 kg'],2002-01-29,"""The hobby that takes up most of my time is cooking. Now that I am in my fifth year living by myself, cooking is just a daily routine, but I also love trying new recipes and trying to beat my dad’s recipes."" (Athlete, 17 May 2024)",Sendai University (JPN),"Father, Jeminiano. Mother, Olga","English, Japanese, Korean, Russian, Spanish","Kazue Nanjo (JPN), at Sendai University"
CHIA Aaron,Male,MAS,Malaysia,Malaysia,['Badminton'],"[""Men's Doubles""]",1997-02-24,"Singing, basketball, exercise",,"Wife, Goh Mui Kee (married September 2022). Two daughters. Parents, Chan Mee Kee and Chia Boon Foo. Middle of three children","Cantonese, English, Hollien, Malay, Mandarin",National: Flandy Limpele (INA)
HOSEI Yuri,Female,PLW,Palau,Palau,['Swimming'],"[""Women's 50m Freestyle""]",2005-05-20,,,,,
DZHUZUPBEKOV Uzur,Male,KGZ,Kyrgyzstan,Kyrgyzstan,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1996-04-12,,"Kyrgyz State Law Academy, Bishkek, KGZ",,Russian,National: Azat Erkimbayev (KGZ)
ISMAILOV Amantur,Male,KGZ,Kyrgyzstan,Kyrgyzstan,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1997-12-29,,"Kyrgyz State Academy of Physical Education and Sport, Bishkek (KGZ)",,"Kyrgyz, Russian",
CHEN Tang Jie,Male,MAS,Malaysia,Malaysia,['Badminton'],['Mixed Doubles'],1998-01-05,,,,"Bahasa Malaysia, English, Mandarin",
GOH Jin Wei,Female,MAS,Malaysia,Malaysia,['Badminton'],"[""Women's Singles""]",2000-01-30,"Reading. ""I read a lot during my free time. My favourite book is the Guinness Book of World Records and I hope to be in that book one day."" (malaymail, 27 Dec 2015)",,,"English, Malay, Mandarin, Hokkien",
LEE Zii Jia,Male,MAS,Malaysia,Malaysia,['Badminton'],"[""Men's Singles""]",1998-03-29,,,,"English, Malay, Mandarin",Personal: Wong Tat Meng (MAS)
OZYUKSEL Ilke,Female,TUR,Türkiye,Türkiye,['Modern Pentathlon'],"[""Women's Individual""]",1997-02-26,,Studied Physical Education at Ankara University (TUR) and International Relations at Anadolu University (TUR). She has also received a Master's degree in Sport Management from Gazi University (TUR),"Husband, Harun Mihrioglu","English, Turkish","Fencing: Harun Mihrioglu, her husband"
MAKHMUDOV Akzhol,Male,KGZ,Kyrgyzstan,Kyrgyzstan,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-04-15,"Billiards, tennis","Graduated with a degree in Law from Kyrgyz State Law Academy (Bishkek, KGZ)",,"Kyrgyz, Russian",Personal: Meirambek Akhmetov (KGZ)
UNAL Bugra,Male,TUR,Türkiye,Türkiye,['Modern Pentathlon'],"[""Men's Individual""]",1997-05-08,,Studied Coaching at Gazi University (TUR),,Turkish,
SHARSHENBEKOV Zholaman,Male,KGZ,Kyrgyzstan,Kyrgyzstan,['Wrestling'],"[""Men's Greco-Roman 60kg""]",1999-09-29,Football,"Studied at Kyrgyz State Academy of Physical Education and Sports (Bishkek, KGZ)",,"English, Kyrgyz, Russian",Personal: Khakim Makhmudov (KGZ)
SAMBA Abderrahman,Male,QAT,Qatar,Qatar,['Athletics'],"[""Men's 400m Hurdles""]",1995-09-05,Football,,,"Arabic, English",Personal: Massimo Matrone (ITA)
HEMEIDA Bassem,Male,QAT,Qatar,Qatar,['Athletics'],"[""Men's 400m Hurdles""]",2000-03-28,,,"Parents, Reem and Mohamed Hemeida. Sister, Bassant. Brother, Seifeldin","Arabic, English",Personal: Massimo Matrone (ITA)
BARSHIM Mutaz Essa,Male,QAT,Qatar,Qatar,['Athletics'],"[""Men's High Jump""]",1991-06-24,"Art, fashion, design, watching cartoons",,"Wife, Alexandra Everett (SWE). Son, Josef (born October 2020)","Arabic, English",Personal: Stanislaw Szczyrba (POL/SWE)
ABAKAR Ismail Doudai,Male,QAT,Qatar,Qatar,['Athletics'],"[""Men's 400m Hurdles""]",2004-01-01,,,,"Arabic, English","Hennie Kotze (RSA), sprint and hurdles coach for Qatar"
ABDALLA Abubaker Haydar,Male,QAT,Qatar,Qatar,['Athletics'],"[""Men's 800m""]",1996-08-28,,Studying Sports Science at UCAM Catholic University of Murcia (ESP),,"Arabic, English",
YAHIA IBRAHIM Ammar Ismail,Male,QAT,Qatar,Qatar,['Athletics'],"[""Men's 400m""]",1996-09-18,,,,"Arabic, English",National: Hennie Kotze (RSA)
KHASLAKHANAU Abubakar,Male,AIN,AIN,Belarus,['Wrestling'],"[""Men's Greco-Roman 97kg""]",2004-04-25,,"Studying Law at the Belarusian State University (Minsk, BLR)",,Russian,Personal: Kiril Fomenko
RECBER Hakan,Male,TUR,Türkiye,Türkiye,['Taekwondo'],['Men -68kg'],1999-08-17,,,"Father, Aydogan Recber - has coached Hakan","English, Turkish",National: Servet Tazegul (TUR)
ATESLI Emre Kutalmis,Male,TUR,Türkiye,Türkiye,['Taekwondo'],['Men +80kg'],2001-01-01,,"Studied Sport Science at Ondokuz Mayıs University (Atakum, TUR)","Partner, Anya Kisskalt (German international taekwondoin)",Turkish,
DINCEL KAVURAT Merve,Female,TUR,Türkiye,Türkiye,['Taekwondo'],['Women -49kg'],1999-11-22,,,"Husband, Ferhat Can Kavurat (married July 2023)",Turkish,National: Ali Sahin (TUR)
ILGUN Hatice Kubra,Female,TUR,Türkiye,Türkiye,['Taekwondo'],['Women -57kg'],1993-01-01,"Turkish traditional dancing, shopping, spending time with friends, travelling, collecting shoes",Studies Sports Science at Bursa Uludag University (TUR),,Turkish,National: Ali Sahin (TUR)
KUS AYDIN Nafia,Female,TUR,Türkiye,Türkiye,['Taekwondo'],['Women +67kg'],1995-02-20,,"Studied Physical Education at Cukurova University (Adana, TUR)","Husband, Volkan Aydin (married 2023)",Turkish,National: Ali Sahin (TUR)
COX Stephen,Male,ZIM,Zimbabwe,Zimbabwe,['Rowing'],"[""Men's Single Sculls""]",1991-09-29,,,,English,Personal: Franz Imfeld (GBR)
TROFIMOVA Sardana,Female,KGZ,Kyrgyzstan,Kyrgyzstan,['Athletics'],"[""Women's Marathon""]",1988-03-28,,"North-Eastern Federal University (Yakutsk, RUS)","Husband, Yevgeniy","English, Russian",Personal: Tatyana Zhyrkova (RUS)
CERNOGORAZ Giovanni,Male,CRO,Croatia,Croatia,['Shooting'],['Trap Men'],1982-12-27,"Running, gym, hunting",,"Wife, Sabina. Son, Leonard. Daughters, Eva and Serena. Father, Valter. Mother, Brune. Sister, Veronica","Croatian, English, Italian",National/Personal: Valter Cernogoraz (CRO) - his father
ABO YAMAN Zaid,Male,JOR,Jordan,Jordan,['Table Tennis'],"[""Men's Singles""]",1993-06-20,,,"Father, Yousef. Siblings, Sewar, Taima, and Laith",Arabic,
KORKMAZ Salih,Male,TUR,Türkiye,Türkiye,['Athletics'],"[""Men's 20km Race Walk""]",1997-01-01,,,"Wife, Ilgi Yetkin (married September 2023)",Turkish,National: Mustafa Akyavas
MUZRAPOV Favoris,Male,TJK,Tajikistan,Tajikistan,['Athletics'],"[""Men's 100m""]",1998-11-15,,,,Russian,
YUSUPOV Alisher,Male,UZB,Uzbekistan,Uzbekistan,['Judo'],"['Men +100 kg', 'Mixed Team']",1998-11-27,Playing football,Physical Education at Uzbekistan Sport University,,"Russian, Uzbek",Jamshid Khudayberganov
KURBONOVA Khalimajon,Female,UZB,Uzbekistan,Uzbekistan,['Judo'],"['Women -48 kg', 'Mixed Team']",2002-01-04,Cooking,Urgench State University (UZB),,"English, Russian, Uzbek",Shoira Masharipova (UZB)
DANISMAZ Tugba,Female,TUR,Türkiye,Türkiye,['Athletics'],"[""Women's Triple Jump""]",1999-09-01,Watching suspenseful action series,Studying Sports Science at Aydın Adnan Menderes University (TUR),,Turkish,Cahit Yuksel (TUR)
GLINKA Alisa,Female,MDA,Republic of Moldova,Republic of Moldova,['Equestrian'],['Dressage Individual'],1987-10-10,,,"Married. Mother of five children, the youngest born in February 2024","English, Russian",
JIDDOU Salam,Male,MLI,Mali,Mali,['Football'],['Men'],2000-02-01,,,,French,Club: Reda Bendriss (ALG).<br>National: Badra Alou Diallo (MLI)
ROBU Marin,Male,MDA,Republic of Moldova,Republic of Moldova,['Weightlifting'],"[""Men's 89kg""]",2000-03-19,Playing table tennis,"Studies at the State University of Physical Education and Sport (Chisinau, MDA)","Mother, Aurica","English, Romanian",Personal: Sergiu Cretu (MDA)
COPELLO Yasmani,Male,TUR,Türkiye,Türkiye,['Athletics'],"[""Men's 400m Hurdles""]",1987-04-15,Video games,,"Wife, Elif Koc (married in 2018)","English, Spanish, Turkish",Personal: Massimo Mastrone (ITA).<br>Personal: Elif Copello (TUR)
KELDIYOROVA Diyora,Female,UZB,Uzbekistan,Uzbekistan,['Judo'],"['Women -52 kg', 'Mixed Team']",1998-07-13,"Playing with her cats and dog (Siberian husky), posting their photos on Instagram, training her dog",Studied Physical Education and Sports at university (2016-2020),"Husband, Azamat Matyakubov (married August 2022). One sister","English, Russian, Uzbek",Club: Nelli Kiyamova (UZB).<br>National: Marco Spittka (GER)
IMADOUCHENE Romain,Male,FRA,France,France,['Weightlifting'],"[""Men's 89kg""]",1995-09-05,Fishing,"Studied at the National Institute of Sport, Expertise and Performance (Paris, FRA)",,French,National: Franz Felicite.<br>Personal: Vencelas Dabaya (FRA)
KINGUE MATAM Bernardin,Male,FRA,France,France,['Weightlifting'],"[""Men's 73kg""]",1990-05-20,,"Studied Economics at the University of Franche-Comte (Besancon, FRA)","Father, Didier. Thirteen siblings, including brothers, Alphonse, Samson and David","English, French",National: Franz Felicite
FEGUE Marie,Female,FRA,France,France,['Weightlifting'],"[""Women's 71kg""]",1991-05-28,,"Studied Sport Science at the National Institute of Sport, Expertise and Performance (Paris, FRA)",,French,National: Franz Felicite
TCHAKOUNTE Dora,Female,FRA,France,France,['Weightlifting'],"[""Women's 59kg""]",1995-03-23,,"Studies Physiology at the National School of Physiotherapy and Rehabilitation (Paris, FRA)",One son,French,"National: Yann Morisseau, Frantz Felicite"
CINAR Deniz,Male,TUR,Türkiye,Türkiye,['Sailing'],['Mixed Dinghy'],1984-12-08,"Water sports, cinema, reading books",Graduated in 2010 with a Bachelor's degree in Environmental Health Engineering from Dokuz Eylul University (TUR),"Wife, Ceyla. Brother, Ates - his sailing partner at four Olympic Games (2008-2020) and coach","English, Turkish","Ates Cinar (TUR), his brother"
GUZEL Ecem,Female,TUR,Türkiye,Türkiye,['Sailing'],"[""Women's Dinghy""]",1995-02-23,"Reading books, doing puzzles, spending time with friends and family","Sports Management at Marmara University (Istanbul, TUR)",,Turkish,
CITAK Yigit Yalcin,Male,TUR,Türkiye,Türkiye,['Sailing'],"[""Men's Dinghy""]",2001-01-03,"Drifting, jet-skiing, padel tennis, cooking",Bachelor’s degree in Management Engineering at Bahcesehir University (TUR),"Father, TC Cetin. Mother, Nuran","English, Turkish",Mustafa Cakır (TUR)
VATAN Merve,Female,TUR,Türkiye,Türkiye,['Sailing'],"[""Women's Windsurfing""]",2005-01-01,,,"Father, İbrahim. Mother, Emine",Turkish,Onur Yalcın (TUR)
ATAKAN Derin,Female,TUR,Türkiye,Türkiye,['Sailing'],"[""Women's Kite""]",2006-06-16,,,,Turkish,
KAYNAR Alican,Male,TUR,Türkiye,Türkiye,['Sailing'],['Mixed Multihull'],1988-10-30,"Listening to music, watching television series","Industrial Engineering at Bahcesehir University (Istanbul, TUR)","Wife, Seha Arslan. Daughter Azra","English, Turkish",
KAYNAKCI Beste,Female,TUR,Türkiye,Türkiye,['Sailing'],['Mixed Multihull'],1994-04-30,,"Nutrition at Yeditepe University (Istanbul, TUR)",,"English, Turkish",Tayfun Erey (TUR)
DIOMANDE Ahmed,Male,MLI,Mali,Mali,['Football'],['Men'],2002-12-15,,,,French,National: Badra Alou Diallo (MLI)
NALBANTOGLU Lara,Female,TUR,Türkiye,Switzerland,['Sailing'],['Mixed Dinghy'],2001-10-02,"Sailing, pottery, reading self-improvement books, yoga, cooking, and exploring new places",Business Administration and Management Marketing at Sabanci University (TUR),"Father, Ergun. Mother, Funda","English, Turkish","Romain Bonnaud (FRA), also coaches members of the USA team"
DEFAY Johanne,Female,FRA,France,France,['Surfing'],['Women'],1993-11-19,"Travelling, painting, spending time with family, cooking, yoga",,"Husband, Simon Paillard","English, French",Personal: Simon Paillard (husband)
FIERRO Vahine,Female,FRA,France,France,['Surfing'],['Women'],1999-12-02,"Freediving, hiking and foiling",,"Father, Andrew. Mother, Hina. Younger sister, Heimiti. Younger sister, Kohai","English, French, Tahitian",
VAAST Kauli,Male,FRA,France,France,['Surfing'],['Men'],2002-02-26,,,"Father, Gael. Mother, Natou. Younger sister, Aelen. Younger brother, Naiki","English, French",
DURU Joan,Male,FRA,France,France,['Surfing'],['Men'],1989-04-25,,,"Partner, Maud Le Car",French,
TRAORE Boubacar,Male,MLI,Mali,Mali,['Football'],['Men'],2001-08-20,,,,"English, French",National: Badra Alou Diallo (MLI)
KHOJAZODA Behruzi,Male,TJK,Tajikistan,Tajikistan,['Judo'],['Men -73 kg'],1995-01-11,Watching Turkish movies,,"Father, Sadullo. Mother, Mavjigul. Brother, Firuz","Persian, Russian",Sadurdin Obidov
PARCHMENT Hansle,Male,JAM,Jamaica,Jamaica,['Athletics'],"[""Men's 110m Hurdles""]",1990-06-17,,Graduated in 2017 with a Bachelor's degree in Psychology from the University of the West Indies in Mona (JAM). Plans to pursue engineering after he retires from competition,"Father, Hensle. Mother, Frances. Has one sibling",English,Personal: Fitz Coleman (JAM)
SEVILLE Oblique,Male,JAM,Jamaica,Jamaica,['Athletics'],"[""Men's 100m"", ""Men's 4 x 100m Relay""]",2001-03-16,Certified Lover Boy album by Drake is on his playlist,,"Father, Gerald (died in 2018). Mother, Juliet. Youngest of three siblings",English,Personal: Glen Mills (JAM)
RAKHIMOV Temur,Male,TJK,Tajikistan,Tajikistan,['Judo'],['Men +100 kg'],1997-07-08,"Football, cinema, futsal","Tajik State Institute of Physical Education, Dushanbe (TJK)","Wife, Ruzigul Saidova. Father, Bakhtiyor. Mother, Makhbuba Abdurakhmonova. Brother, Ulughbek. Sister, Nigina","English, Russian, Tajik, Uzbek",National: Sukhrob Abdurakhmonov (TJK)
BRATHWAITE Rikkoi,Male,IVB,"Virgin Islands, B",Great Britain,['Athletics'],"[""Men's 100m""]",1999-02-13,,"Graduated in 2022 with a Bachelor’s degree in Liberal Studies from Indiana University (Bloomington, IN, USA)",,English,Personal: Jean Carlos Arroyo (USA)
McMASTER Kyron,Male,IVB,"Virgin Islands, B",Great Britain,['Athletics'],"[""Men's 400m Hurdles""]",1997-01-03,Loves to eat ribs. He is a fan of Ford trucks,,"Father, Anthony. Mother, Jocelyn",English,Personal: Lennox Graham (JAM)
DABONNE Zouleiha Abzetta,Female,CIV,Côte d'Ivoire,Côte d'Ivoire,['Judo'],['Women -57 kg'],1992-12-15,,,,French,
HONGTEN,Male,KOR,Korea,Republic of Korea,['Breaking'],['B-Boys'],1984-12-27,,,,Korean,
OGUNSANYA Christianah Tolulope,Female,NGR,Nigeria,Nigeria,['Wrestling'],"[""Women's Freestyle 53kg""]",2002-01-12,,,,English,
OBORUDUDU Blessing,Female,NGR,Nigeria,Nigeria,['Wrestling'],"[""Women's Freestyle 68kg""]",1989-03-12,,"Business Administration - Nigeria Delta University, Nigeria",,English,National: Purity Akuh
RUEBEN Hannah Amuchechi,Female,NGR,Nigeria,Nigeria,['Wrestling'],"[""Women's Freestyle 76kg""]",1994-02-14,,,,English,
ADEKUOROYE Odunayo Folasade,Female,NGR,Nigeria,Nigeria,['Wrestling'],"[""Women's Freestyle 57kg""]",1993-12-10,"Singing, driving, reading","Studied Sports Science at the Federal University of Technology (Akure, NGR)",Married (September 2022),English,
KOLAWOLE Esther Omolayo,Female,NGR,Nigeria,Nigeria,['Wrestling'],"[""Women's Freestyle 62kg""]",2002-01-04,,,,English,
ADAM Ibadulla,Male,MDV,Maldives,Maldives,['Athletics'],"[""Men's 100m""]",2002-01-14,,,,"Dhivehi, English",Personal: Maurice Wilson (JAM)
MUTUWA Ashton Adeyemi,Male,NGR,Nigeria,Nigeria,['Wrestling'],"[""Men's Freestyle 125kg""]",1997-10-31,,"Studied Accounting at Truman State University (USA) and Campbellsville University (KY, USA). Later completed a Master's degree in Cybersecurity","Fiancee, Amanda Gordon. Father, Sanusi",English,Personal: Victor Kodei
SURMENELI Busenaz,Female,TUR,Türkiye,Türkiye,['Boxing'],"[""Women's 66kg""]",1998-05-26,"Spending time outdoors, fishing, walking, playing football, listening to music","Studied Physical Education and Sport at Trabzon University (Trabzon, TUR)","Father, Ahmet. Mother, Songul. Sisters, Tugcenaz (twin) and Tugba. Brother, Cinar Ogun",Turkish,Club/National: Cahit Sume (TUR)
ARICAN Ferhat,Male,TUR,Türkiye,Türkiye,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",1993-07-28,,"Sports Administration at Ege University (Manisa, TUR)","Wife, Neslihan Aslan","English, Turkish",National: Yilmaz Goktekin
COLAK Ibrahim,Male,TUR,Türkiye,Türkiye,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",1995-01-07,,"Physical Education and Teaching at Ege University, Izmir (TUR)",,"English, Turkish",Personal/National: Yilmaz Goktekin (TUR)
ONDER Ahmet,Male,TUR,Türkiye,Türkiye,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",1996-07-12,"Playing computer games, shopping, reading, watching movies, travelling","Physical Education, Teaching at Ege University (Izmir, TUR)","Partner, Ezgi Bozdemir","Bulgarian, English, German, Turkish",National: Yilmaz Goktekin
ASIL Adem,Male,TUR,Türkiye,Türkiye,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",1999-02-21,"Playing basketball and volleyball. He also likes the recovery process, especially using the sauna. “We are training pretty hard and the relaxation I get from sauna is so nice. Maybe some of you might know but I am a very social person. So, I really like to go out to eat something or drink a cup of coffee with my friends.” (intlgymnast.com, 26 Sep 2023)","Physical Education at Ege University (Izmir, TUR)",,"Arabic, English, Turkish",National: Yilmaz Goktekin
NGUYEN Thuy Linh,Female,VIE,Vietnam,Vietnam,['Badminton'],"[""Women's Singles""]",1997-11-20,,,,Vietnamese,
DODANLI Emre,Male,TUR,Türkiye,Türkiye,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",2002-10-24,"Collecting rocks, listening to music, playing guitar, saxophone","Health Science at University of Oklahoma, Norman (OK, USA)","Parents, Nalan and Berhan. Sibling, Okan","English, Turkish",Club: Mark Williams (USA)
CAKIROGLU Buse Naz,Female,TUR,Türkiye,Türkiye,['Boxing'],"[""Women's 50kg""]",1996-05-26,,"Physical Education and Sport at Duzce University (Duzce, TUR)",,"English, Turkish",Personal: Nazim Yigit (TUR)
AKBAS Hatice,Female,TUR,Türkiye,Türkiye,['Boxing'],"[""Women's 54kg""]",2001-06-24,,,"Father, Kerem. Has one older brother and a sister","English, Turkish",National: Seyfullah Dumlupinar (TUR).<br>Personal: Kerem Akbas (TUR)
OZER Gizem,Female,TUR,Türkiye,Türkiye,['Boxing'],"[""Women's 60kg""]",2001-04-09,,,,Turkish,National: Cemil Dondu (TUR)
AMINOVA Shukurjon,Female,UZB,Uzbekistan,Uzbekistan,['Judo'],"['Women -57 kg', 'Mixed Team']",2002-11-16,Camping in the mountains,Studying Physical Education at Urgench State University (UZB),Married to Urinboy Boltaboyev,Uzbek,Niyazmetov Sardorbek
GUMUS Samet,Male,TUR,Türkiye,Türkiye,['Boxing'],"[""Men's 51kg""]",2001-05-09,,,"Partner, Sila Genc",Turkish,
YILDIZ KAHRAMAN Esra,Female,TUR,Türkiye,Türkiye,['Boxing'],"[""Women's 57kg""]",1997-07-04,Discovering new places with her husband,"Graduated in Physical Education from Haci Bektas Veli Nevsehir University (Nevsehir, TUR)","Husband, Harun Kahramann. Three sisters","English, Turkish",Club: Isa Dastan (TUR)
AYKUTSUN Kaan,Male,TUR,Türkiye,Türkiye,['Boxing'],"[""Men's 80kg""]",2002-07-22,,Studies Coaching Education at the Faculty of Sports Sciences at Ankara Yıldırım Beyazıt University (TUR),,Turkish,
MATNIYAZOVA Gulnoza,Female,UZB,Uzbekistan,Uzbekistan,['Judo'],"['Women -70 kg', 'Mixed Team']",1994-08-10,"Dancing, listening to music, fishing, playing football",Urgench State University (UZB),,"English, Russian, Uzbek",National: Sardor Niyazmetov (UZB)
KURBANBAEVA Iriskhon,Female,UZB,Uzbekistan,Uzbekistan,['Judo'],"['Women -78 kg', 'Mixed Team']",2002-03-18,Spending time with animals,Information Basin University (UZB),,"Russian, Uzbek",Alfiya Ibragimova Glastinovna (UZB)
ADOLF Balazs,Male,HUN,Hungary,Hungary,['Canoe Sprint'],"[""Men's Canoe Single 1000m"", ""Men's Canoe Double 500m""]",1999-09-05,,"Electrical engineering student at Obuda University (Budapest, HUN)",,"English, Hungarian",Personal: Pal Petervari (HUN)
ZHUMANAZAROVA Meerim,Female,KGZ,Kyrgyzstan,Kyrgyzstan,['Wrestling'],"[""Women's Freestyle 68kg""]",1999-11-09,,"Coaching at Kyrgyz State Academy of Physical Education and Sports, Bishkek, KGZ",,Russian,Personal: Nurbek Izabekov (KGZ)
VO Thi My Tien,Female,VIE,Vietnam,Vietnam,['Swimming'],"[""Women's 200m Individual Medley""]",2005-10-29,,,,Vietnamese,
NGUYEN Thi Huong,Female,VIE,Vietnam,Vietnam,['Canoe Sprint'],"[""Women's Canoe Single 200m""]",2001-10-21,,"Studied at Bac Ninh University of Physical Education and Sports (Tu Son, VIE)",,Vietnamese,National: Can Anh Tuan (VIE)
LAZOVIC Dejan,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],1990-02-08,,,One sister,Montenegrin,National: Vladimir Gojkovic (MNE)
MATKOVIC Dusan,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],1999-02-01,"Reading books, especially Russian classics, cooking, travelling","Graduated with a degree in Information Technology from Mediterranean University (Podgorica, MNE).<br>Graduated with a Master of Arts in Global Security Studies from King's College London (GBR)",One brother,"English, Montenegrin",National: Vladimir Gojkovic (MNE)
MRSIC Marko,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],2003-01-02,,"Studies at the Faculty of Mediterranean Business Studies (Tivat, MNE)",,Montenegrin,National: Vladimir Gojković (MNE)
PERKOVIC Miroslav,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],2001-03-15,,,,"English, Montenegrin",National: Vladimir Gojković (MNE)
POPADIC Vlado,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],1996-04-25,,,,Montenegrin,National: Vladimir Gojkovic (MNE)
PANSTKHAVA Noe,Male,GEO,Georgia,Georgia,['Swimming'],"[""Men's 100m Backstroke""]",2006-03-13,,,,Georgian,
RADOVIC Vasilije,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],2003-05-12,,,,Montenegrin,National: Vladimir Gojkovic (MNE)
SPAIC Vladan,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],1997-06-18,,,,"English, Italian, Serbian",National: Vladimir Gojkovic (MNE)
CSIPES Tamara,Female,HUN,Hungary,Hungary,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m"", ""Women's Kayak Four 500m""]",1989-08-24,,"Studied at Edutus College (Tatabanya, HUN)","Daughter Olivia. Father, Ferenc. Mother, Andrea. Brother, Barnabas","English, Hungarian","Personal: Ferenc Csipes, (HUN), her father"
CSIZMADIA Kolos Attila,Male,HUN,Hungary,Hungary,['Canoe Sprint'],"[""Men's Kayak Four 500m""]",1995-09-01,,"Hungarian University of Physical Education and Sports Sciences, Budapest (HUN)",,"English, Hungarian",Personal: Viktor Lengyel (HUN)
PHAM Thi Hue,Female,VIE,Vietnam,Vietnam,['Rowing'],"[""Women's Single Sculls""]",1990-07-05,,,,Vietnamese,
TESANOVIC Petar,Male,MNE,Montenegro,Montenegro,['Water Polo'],['Men'],1998-11-26,,"Studied at the University of Montenegro (Podgorica, MNE)",,"English, Montenegrin",National: Vladimir Gojković (MNE)
